Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
|||||(0,0,x)|(0,0,-x)||
||3|d|mmm..|(1/2,0,0)|(0,1/2,0)|(0,0,1/2)|
||3|c|mmm..|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|
||1|b|m-3.|(1/2,1/2,1/2)|||
||1|a|m-3.|(0,0,0)|||
P 2/n -3|495|||||||
||24|h|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(-x+1/2,-y+1/2,-z+1/2)|(x+1/2,y+1/2,-z+1/2)|(x+1/2,-y+1/2,z+1/2)|(-x+1/2,y+1/2,z+1/2)
|||||(-z+1/2,-x+1/2,-y+1/2)|(-z+1/2,x+1/2,y+1/2)|(z+1/2,x+1/2,-y+1/2)|(z+1/2,-x+1/2,y+1/2)
|||||(-y+1/2,-z+1/2,-x+1/2)|(y+1/2,-z+1/2,x+1/2)|(-y+1/2,z+1/2,x+1/2)|(y+1/2,z+1/2,-x+1/2)
||12|g|2..|(x,1/2,0)|(-x,1/2,0)|(0,x,1/2)|(0,-x,1/2)
|||||(1/2,0,x)|(1/2,0,-x)|(-x+1/2,0,1/2)|(x+1/2,0,1/2)
|||||(1/2,-x+1/2,0)|(1/2,x+1/2,0)|(0,1/2,-x+1/2)|(0,1/2,x+1/2)
||12|f|2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)|(-x+1/2,1/2,1/2)|(x+1/2,1/2,1/2)
|||||(1/2,-x+1/2,1/2)|(1/2,x+1/2,1/2)|(1/2,1/2,-x+1/2)|(1/2,1/2,x+1/2)
||8|e|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
|||||(-x+1/2,-x+1/2,-x+1/2)|(x+1/2,x+1/2,-x+1/2)|(x+1/2,-x+1/2,x+1/2)|(-x+1/2,x+1/2,x+1/2)
||6|d|222..|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|(1/2,0,0)
|||||(0,1/2,0)|(0,0,1/2)||
||4|c|.-3.|(3/4,3/4,3/4)|(1/4,1/4,3/4)|(1/4,3/4,1/4)|(3/4,1/4,1/4)
||4|b|.-3.|(1/4,1/4,1/4)|(3/4,3/4,1/4)|(3/4,1/4,3/4)|(1/4,3/4,3/4)
||2|a|23|(0,0,0)|(1/2,1/2,1/2)||
P 2/n -3|496|||||||
||24|h|1|(x,y,z)|(-x+1/2,-y+1/2,z)|(-x+1/2,y,-z+1/2)|(x,-y+1/2,-z+1/2)
|||||(z,x,y)|(z,-x+1/2,-y+1/2)|(-z+1/2,-x+1/2,y)|(-z+1/2,x,-y+1/2)
|||||(y,z,x)|(-y+1/2,z,-x+1/2)|(y,-z+1/2,-x+1/2)|(-y+1/2,-z+1/2,x)
|||||(-x,-y,-z)|(x+1/2,y+1/2,-z)|(x+1/2,-y,z+1/2)|(-x,y+1/2,z+1/2)
|||||(-z,-x,-y)|(-z,x+1/2,y+1/2)|(z+1/2,x+1/2,-y)|(z+1/2,-x,y+1/2)
|||||(-y,-z,-x)|(y+1/2,-z,x+1/2)|(-y,z+1/2,x+1/2)|(y+1/2,z+1/2,-x)
||12|g|2..|(x,3/4,1/4)|(-x+1/2,3/4,1/4)|(1/4,x,3/4)|(1/4,-x+1/2,3/4)
|||||(3/4,1/4,x)|(3/4,1/4,-x+1/2)|(-x,1/4,3/4)|(x+1/2,1/4,3/4)
|||||(3/4,-x,1/4)|(3/4,x+1/2,1/4)|(1/4,3/4,-x)|(1/4,3/4,x+1/2)
||12|f|2..|(x,1/4,1/4)|(-x+1/2,1/4,1/4)|(1/4,x,1/4)|(1/4,-x+1/2,1/4)
|||||(1/4,1/4,x)|(1/4,1/4,-x+1/2)|(-x,3/4,3/4)|(x+1/2,3/4,3/4)
|||||(3/4,-x,3/4)|(3/4,x+1/2,3/4)|(3/4,3/4,-x)|(3/4,3/4,x+1/2)
||8|e|.3.|(x,x,x)|(-x+1/2,-x+1/2,x)|(-x+1/2,x,-x+1/2)|(x,-x+1/2,-x+1/2)
|||||(-x,-x,-x)|(x+1/2,x+1/2,-x)|(x+1/2,-x,x+1/2)|(-x,x+1/2,x+1/2)
||6|d|222..|(1/4,3/4,3/4)|(3/4,1/4,3/4)|(3/4,3/4,1/4)|(3/4,1/4,1/4)
|||||(1/4,3/4,1/4)|(1/4,1/4,3/4)||
||4|c|.-3.|(1/2,1/2,1/2)|(0,0,1/2)|(0,1/2,0)|(1/2,0,0)
||4|b|.-3.|(0,0,0)|(1/2,1/2,0)|(1/2,0,1/2)|(0,1/2,1/2)
||2|a|23|(1/4,1/4,1/4)|(3/4,3/4,3/4)||
F 2/m -3|497|||||||
||96|i|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(-x,-y,-z)|(x,y,-z)|(x,-y,z)|(-x,y,z)
|||||(-z,-x,-y)|(-z,x,y)|(z,x,-y)|(z,-x,y)
|||||(-y,-z,-x)|(y,-z,x)|(-y,z,x)|(y,z,-x)
||48|h|m..|(0,y,z)|(0,-y,z)|(0,y,-z)|(0,-y,-z)
|||||(z,0,y)|(z,0,-y)|(-z,0,y)|(-z,0,-y)
|||||(y,z,0)|(-y,z,0)|(y,-z,0)|(-y,-z,0)
||48|g|2..|(x,1/4,1/4)|(-x,3/4,1/4)|(1/4,x,1/4)|(1/4,-x,3/4)
|||||(1/4,1/4,x)|(3/4,1/4,-x)|(-x,3/4,3/4)|(x,1/4,3/4)
|||||(3/4,-x,3/4)|(3/4,x,1/4)|(3/4,3/4,-x)|(1/4,3/4,x)
||32|f|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
|||||(-x,-x,-x)|(x,x,-x)|(x,-x,x)|(-x,x,x)
||24|e|mm2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)||
||24|d|2/m..|(0,1/4,1/4)|(0,3/4,1/4)|(1/4,0,1/4)|(1/4,0,3/4)
|||||(1/4,1/4,0)|(3/4,1/4,0)||
||8|c|23|(1/4,1/4,1/4)|(3/4,3/4,3/4)||
||4|b|m-3.|(1/2,1/2,1/2)|||
||4|a|m-3.|(0,0,0)|||
F 2/d -3|498|||||||
||96|g|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(-x+1/4,-y+1/4,-z+1/4)|(x+1/4,y+1/4,-z+1/4)|(x+1/4,-y+1/4,z+1/4)|(-x+1/4,y+1/4,z+1/4)
|||||(-z+1/4,-x+1/4,-y+1/4)|(-z+1/4,x+1/4,y+1/4)|(z+1/4,x+1/4,-y+1/4)|(z+1/4,-x+1/4,y+1/4)
|||||(-y+1/4,-z+1/4,-x+1/4)|(y+1/4,-z+1/4,x+1/4)|(-y+1/4,z+1/4,x+1/4)|(y+1/4,z+1/4,-x+1/4)
||48|f|2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)|(-x+1/4,1/4,1/4)|(x+1/4,1/4,1/4)
|||||(1/4,-x+1/4,1/4)|(1/4,x+1/4,1/4)|(1/4,1/4,-x+1/4)|(1/4,1/4,x+1/4)
||32|e|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
|||||(-x+1/4,-x+1/4,-x+1/4)|(x+1/4,x+1/4,-x+1/4)|(x+1/4,-x+1/4,x+1/4)|(-x+1/4,x+1/4,x+1/4)
||16|d|.-3.|(5/8,5/8,5/8)|(3/8,3/8,5/8)|(3/8,5/8,3/8)|(5/8,3/8,3/8)
||16|c|.-3.|(1/8,1/8,1/8)|(7/8,7/8,1/8)|(7/8,1/8,7/8)|(1/8,7/8,7/8)
||8|b|23|(1/2,1/2,1/2)|(3/4,3/4,3/4)||
||8|a|23|(0,0,0)|(1/4,1/4,1/4)||
F 2/d -3|499|||||||
||96|g|1|(x,y,z)|(-x+1/4,-y+1/4,z)|(-x+1/4,y,-z+1/4)|(x,-y+1/4,-z+1/4)
|||||(z,x,y)|(z,-x+1/4,-y+1/4)|(-z+1/4,-x+1/4,y)|(-z+1/4,x,-y+1/4)
|||||(y,z,x)|(-y+1/4,z,-x+1/4)|(y,-z+1/4,-x+1/4)|(-y+1/4,-z+1/4,x)
|||||(-x,-y,-z)|(x+3/4,y+3/4,-z)|(x+3/4,-y,z+3/4)|(-x,y+3/4,z+3/4)
|||||(-z,-x,-y)|(-z,x+3/4,y+3/4)|(z+3/4,x+3/4,-y)|(z+3/4,-x,y+3/4)
|||||(-y,-z,-x)|(y+3/4,-z,x+3/4)|(-y,z+3/4,x+3/4)|(y+3/4,z+3/4,-x)
||48|f|2..|(x,1/8,1/8)|(-x+1/4,1/8,1/8)|(1/8,x,1/8)|(1/8,-x+1/4,1/8)
|||||(1/8,1/8,x)|(1/8,1/8,-x+1/4)|(-x,7/8,7/8)|(x+3/4,7/8,7/8)
|||||(7/8,-x,7/8)|(7/8,x+3/4,7/8)|(7/8,7/8,-x)|(7/8,7/8,x+3/4)
||32|e|.3.|(x,x,x)|(-x+1/4,-x+1/4,x)|(-x+1/4,x,-x+1/4)|(x,-x+1/4,-x+1/4)
|||||(-x,-x,-x)|(x+3/4,x+3/4,-x)|(x+3/4,-x,x+3/4)|(-x,x+3/4,x+3/4)
||16|d|.-3.|(1/2,1/2,1/2)|(3/4,3/4,1/2)|(3/4,1/2,3/4)|(1/2,3/4,3/4)
||16|c|.-3.|(0,0,0)|(1/4,1/4,0)|(1/4,0,1/4)|(0,1/4,1/4)
||8|b|23|(5/8,5/8,5/8)|(3/8,3/8,3/8)||
||8|a|23|(1/8,1/8,1/8)|(7/8,7/8,7/8)||
I 2/m -3|500|||||||
||48|h|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(-x,-y,-z)|(x,y,-z)|(x,-y,z)|(-x,y,z)
|||||(-z,-x,-y)|(-z,x,y)|(z,x,-y)|(z,-x,y)
|||||(-y,-z,-x)|(y,-z,x)|(-y,z,x)|(y,z,-x)
||24|g|m..|(0,y,z)|(0,-y,z)|(0,y,-z)|(0,-y,-z)
|||||(z,0,y)|(z,0,-y)|(-z,0,y)|(-z,0,-y)
|||||(y,z,0)|(-y,z,0)|(y,-z,0)|(-y,-z,0)
||16|f|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
|||||(-x,-x,-x)|(x,x,-x)|(x,-x,x)|(-x,x,x)
||12|e|mm2..|(x,0,1/2)|(-x,0,1/2)|(1/2,x,0)|(1/2,-x,0)
|||||(0,1/2,x)|(0,1/2,-x)||
||12|d|mm2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)||
||8|c|.-3.|(1/4,1/4,1/4)|(3/4,3/4,1/4)|(3/4,1/4,3/4)|(1/4,3/4,3/4)
||6|b|mmm..|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|
||2|a|m-3.|(0,0,0)|||
P 21/a -3|501|||||||
||24|d|1|(x,y,z)|(-x+1/2,-y,z+1/2)|(-x,y+1/2,-z+1/2)|(x+1/2,-y+1/2,-z)
|||||(z,x,y)|(z+1/2,-x+1/2,-y)|(-z+1/2,-x,y+1/2)|(-z,x+1/2,-y+1/2)
|||||(y,z,x)|(-y,z+1/2,-x+1/2)|(y+1/2,-z+1/2,-x)|(-y+1/2,-z,x+1/2)
|||||(-x,-y,-z)|(x+1/2,y,-z+1/2)|(x,-y+1/2,z+1/2)|(-x+1/2,y+1/2,z)
|||||(-z,-x,-y)|(-z+1/2,x+1/2,y)|(z+1/2,x,-y+1/2)|(z,-x+1/2,y+1/2)
|||||(-y,-z,-x)|(y,-z+1/2,x+1/2)|(-y+1/2,z+1/2,x)|(y+1/2,z,-x+1/2)
||8|c|.3.|(x,x,x)|(-x+1/2,-x,x+1/2)|(-x,x+1/2,-x+1/2)|(x+1/2,-x+1/2,-x)
|||||(-x,-x,-x)|(x+1/2,x,-x+1/2)|(x,-x+1/2,x+1/2)|(-x+1/2,x+1/2,x)
||4|b|.-3.|(1/2,1/2,1/2)|(0,1/2,0)|(1/2,0,0)|(0,0,1/2)
||4|a|.-3.|(0,0,0)|(1/2,0,1/2)|(0,1/2,1/2)|(1/2,1/2,0)
I 21/a -3|502|||||||
||48|e|1|(x,y,z)|(-x+1/2,-y,z+1/2)|(-x,y+1/2,-z+1/2)|(x+1/2,-y+1/2,-z)
|||||(z,x,y)|(z+1/2,-x+1/2,-y)|(-z+1/2,-x,y+1/2)|(-z,x+1/2,-y+1/2)
|||||(y,z,x)|(-y,z+1/2,-x+1/2)|(y+1/2,-z+1/2,-x)|(-y+1/2,-z,x+1/2)
|||||(-x,-y,-z)|(x+1/2,y,-z+1/2)|(x,-y+1/2,z+1/2)|(-x+1/2,y+1/2,z)
|||||(-z,-x,-y)|(-z+1/2,x+1/2,y)|(z+1/2,x,-y+1/2)|(z,-x+1/2,y+1/2)
|||||(-y,-z,-x)|(y,-z+1/2,x+1/2)|(-y+1/2,z+1/2,x)|(y+1/2,z,-x+1/2)
||24|d|2..|(x,0,1/4)|(-x+1/2,0,3/4)|(1/4,x,0)|(3/4,-x+1/2,0)
|||||(0,1/4,x)|(0,3/4,-x+1/2)|(-x,0,3/4)|(x+1/2,0,1/4)
|||||(3/4,-x,0)|(1/4,x+1/2,0)|(0,3/4,-x)|(0,1/4,x+1/2)
||16|c|.3.|(x,x,x)|(-x+1/2,-x,x+1/2)|(-x,x+1/2,-x+1/2)|(x+1/2,-x+1/2,-x)
|||||(-x,-x,-x)|(x+1/2,x,-x+1/2)|(x,-x+1/2,x+1/2)|(-x+1/2,x+1/2,x)
||8|b|.-3.|(1/4,1/4,1/4)|(1/4,3/4,3/4)|(3/4,3/4,1/4)|(3/4,1/4,3/4)
||8|a|.-3.|(0,0,0)|(1/2,0,1/2)|(0,1/2,1/2)|(1/2,1/2,0)
P 4 3 2|503|||||||
||24|k|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(y,x,-z)|(-y,-x,-z)|(y,-x,z)|(-y,x,z)
|||||(x,z,-y)|(-x,z,y)|(-x,-z,-y)|(x,-z,y)
|||||(z,y,-x)|(z,-y,x)|(-z,y,x)|(-z,-y,-x)
||12|j|..2|(1/2,y,y)|(1/2,-y,y)|(1/2,y,-y)|(1/2,-y,-y)
|||||(y,1/2,y)|(y,1/2,-y)|(-y,1/2,y)|(-y,1/2,-y)
|||||(y,y,1/2)|(-y,y,1/2)|(y,-y,1/2)|(-y,-y,1/2)
||12|i|..2|(0,y,y)|(0,-y,y)|(0,y,-y)|(0,-y,-y)
|||||(y,0,y)|(y,0,-y)|(-y,0,y)|(-y,0,-y)
|||||(y,y,0)|(-y,y,0)|(y,-y,0)|(-y,-y,0)
||12|h|2..|(x,1/2,0)|(-x,1/2,0)|(0,x,1/2)|(0,-x,1/2)
|||||(1/2,0,x)|(1/2,0,-x)|(1/2,x,0)|(1/2,-x,0)
|||||(x,0,1/2)|(-x,0,1/2)|(0,1/2,-x)|(0,1/2,x)
||8|g|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
|||||(x,x,-x)|(-x,-x,-x)|(x,-x,x)|(-x,x,x)
||6|f|4..|(x,1/2,1/2)|(-x,1/2,1/2)|(1/2,x,1/2)|(1/2,-x,1/2)
|||||(1/2,1/2,x)|(1/2,1/2,-x)||
||6|e|4..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)||
||3|d|42.2|(1/2,0,0)|(0,1/2,0)|(0,0,1/2)|
||3|c|42.2|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|
||1|b|432|(1/2,1/2,1/2)|||
||1|a|432|(0,0,0)|||
P 42 3 2|504|||||||
||24|m|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(y+1/2,x+1/2,-z+1/2)|(-y+1/2,-x+1/2,-z+1/2)|(y+1/2,-x+1/2,z+1/2)|(-y+1/2,x+1/2,z+1/2)
|||||(x+1/2,z+1/2,-y+1/2)|(-x+1/2,z+1/2,y+1/2)|(-x+1/2,-z+1/2,-y+1/2)|(x+1/2,-z+1/2,y+1/2)
|||||(z+1/2,y+1/2,-x+1/2)|(z+1/2,-y+1/2,x+1/2)|(-z+1/2,y+1/2,x+1/2)|(-z+1/2,-y+1/2,-x+1/2)
||12|l|..2|(1/4,y,y+1/2)|(3/4,-y,y+1/2)|(3/4,y,-y+1/2)|(1/4,-y,-y+1/2)
|||||(y+1/2,1/4,y)|(y+1/2,3/4,-y)|(-y+1/2,3/4,y)|(-y+1/2,1/4,-y)
|||||(y,y+1/2,1/4)|(-y,y+1/2,3/4)|(y,-y+1/2,3/4)|(-y,-y+1/2,1/4)
||12|k|..2|(1/4,y,-y+1/2)|(3/4,-y,-y+1/2)|(3/4,y,y+1/2)|(1/4,-y,y+1/2)
|||||(-y+1/2,1/4,y)|(-y+1/2,3/4,-y)|(y+1/2,3/4,y)|(y+1/2,1/4,-y)
|||||(y,-y+1/2,1/4)|(-y,-y+1/2,3/4)|(y,y+1/2,3/4)|(-y,y+1/2,1/4)
||12|j|2..|(x,1/2,0)|(-x,1/2,0)|(0,x,1/2)|(0,-x,1/2)
|||||(1/2,0,x)|(1/2,0,-x)|(0,x+1/2,1/2)|(0,-x+1/2,1/2)
|||||(x+1/2,1/2,0)|(-x+1/2,1/2,0)|(1/2,0,-x+1/2)|(1/2,0,x+1/2)
||12|i|2..|(x,0,1/2)|(-x,0,1/2)|(1/2,x,0)|(1/2,-x,0)
|||||(0,1/2,x)|(0,1/2,-x)|(1/2,x+1/2,0)|(1/2,-x+1/2,0)
|||||(x+1/2,0,1/2)|(-x+1/2,0,1/2)|(0,1/2,-x+1/2)|(0,1/2,x+1/2)
||12|h|2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)|(1/2,x+1/2,1/2)|(1/2,-x+1/2,1/2)
|||||(x+1/2,1/2,1/2)|(-x+1/2,1/2,1/2)|(1/2,1/2,-x+1/2)|(1/2,1/2,x+1/2)
||8|g|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
|||||(x+1/2,x+1/2,-x+1/2)|(-x+1/2,-x+1/2,-x+1/2)|(x+1/2,-x+1/2,x+1/2)|(-x+1/2,x+1/2,x+1/2)
||6|f|2.22|(1/4,1/2,0)|(3/4,1/2,0)|(0,1/4,1/2)|(0,3/4,1/2)
|||||(1/2,0,1/4)|(1/2,0,3/4)||
||6|e|2.22|(1/4,0,1/2)|(3/4,0,1/2)|(1/2,1/4,0)|(1/2,3/4,0)
|||||(0,1/2,1/4)|(0,1/2,3/4)||
||6|d|222..|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|(0,1/2,0)
|||||(1/2,0,0)|(0,0,1/2)||
||4|c|0.32|(3/4,3/4,3/4)|(1/4,1/4,3/4)|(1/4,3/4,1/4)|(3/4,1/4,1/4)
||4|b|0.32|(1/4,1/4,1/4)|(3/4,3/4,1/4)|(3/4,1/4,3/4)|(1/4,3/4,3/4)
||2|a|23|(0,0,0)|(1/2,1/2,1/2)||
F 4 3 2|505|||||||
||96|j|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(y,x,-z)|(-y,-x,-z)|(y,-x,z)|(-y,x,z)
|||||(x,z,-y)|(-x,z,y)|(-x,-z,-y)|(x,-z,y)
|||||(z,y,-x)|(z,-y,x)|(-z,y,x)|(-z,-y,-x)
||48|i|2..|(x,1/4,1/4)|(-x,3/4,1/4)|(1/4,x,1/4)|(1/4,-x,3/4)
|||||(1/4,1/4,x)|(3/4,1/4,-x)|(1/4,x,3/4)|(3/4,-x,3/4)
|||||(x,1/4,3/4)|(-x,1/4,1/4)|(1/4,1/4,-x)|(1/4,3/4,x)
||48|h|..2|(1/2,y,y)|(1/2,-y,y)|(1/2,y,-y)|(1/2,-y,-y)
|||||(y,1/2,y)|(y,1/2,-y)|(-y,1/2,y)|(-y,1/2,-y)
|||||(y,y,1/2)|(-y,y,1/2)|(y,-y,1/2)|(-y,-y,1/2)
||48|g|..2|(0,y,y)|(0,-y,y)|(0,y,-y)|(0,-y,-y)
|||||(y,0,y)|(y,0,-y)|(-y,0,y)|(-y,0,-y)
|||||(y,y,0)|(-y,y,0)|(y,-y,0)|(-y,-y,0)
